notif_no,substance_detected
NOT220708356K,Nan
NOT220708211K,Nan
NOT200706647K,Nan
NOT220708274K,Nan
NOT220708243K,Nan
NOT220708503K,Nan
NOT220708377K,Nan
NOT220708391K,Nan
NOT220708221K,Nan
NOT220708224K,Nan
NOT220708146K,Nan
NOT220708147K,Nan
NOT220708225K,Nan
NOT220708359K,Nan
NOT220708246K,Nan
NOT220708358K,Nan
NOT220708222K,Nan
NOT220708466K,Nan
NOT220708303K,Nan
NOT220708467K,Nan
NOT220708214K,Nan
NOT220708213K,Nan
NOT220708186K,Nan
NOT220708187K,Nan
NOT220708188K,Nan
NOT220708183K,Nan
NOT220708190K,Nan
NOT220708182K,Nan
NOT220708191K,Nan
NOT220708192K,Nan
NOT220708194K,Nan
NOT220708196K,Nan
NOT220708217K,Nan
NOT220708198K,Nan
NOT220708203K,Nan
NOT220708504K,Nan
NOT220708205K,Nan
NOT220708206K,Nan
NOT220708207K,Nan
NOT220708329K,Nan
NOT220708180K,Nan
NOT220708336K,Nan
NOT220708282K,Nan
NOT220708177K,Nan
NOT220708181K,Nan
NOT220708218K,Nan
NOT220708174K,Nan
NOT220708169K,Nan
NOT220708410K,Nan
NOT220708411K,Nan
NOT220708184K,Nan
NOT220708381K,Nan
NOT220708382K,Nan
NOT220708383K,Nan
NOT220708268K,Nan
NOT220708156K,Nan
NOT220708245K,Nan
NOT220708284K,Nan
NOT220708402K,Nan
NOT220708269K,Nan
NOT220708155K,Nan
NOT220708260K,Nan
NOT220708386K,Nan
NOT220708271K,Nan
NOT220708272K,Nan
NOT220708154K,Nan
NOT220708285K,Nan
NOT220708273K,Nan
NOT220708279K,Nan
NOT220708280K,Nan
NOT220708384K,Nan
NOT220708290K,Nan
NOT220708380K,Nan
NOT220708463K,Nan
NOT200706914K,Nan
NOT220708455K,Nan
NOT220708228K,Nan
NOT220708251K,Nan
NOT220708252K,Nan
NOT200706843K,Nan
NOT220708265K,Nan
NOT220708244K,Nan
NOT220708167K,Nan
NOT220708465K,Nan
NOT220708267K,Nan
NOT220708166K,Nan
NOT220708254K,Nan
NOT220708464K,Nan
NOT220708255K,Nan
NOT220708335K,Nan
NOT220708283K,Nan
NOT220708266K,Nan
NOT220708161K,Nan
NOT220708158K,Nan
NOT220708258K,Nan
NOT220708379K,Nan
NOT220708253K,Nan
NOT220708328K,Nan
NOT220708210K,Nan
NOT200706943K,Nan
NOT200707006K,Nan
NOT200706985K,Nan
NOT200706976K,Nan
NOT200706585K,Nan
NOT220708485K,Nan
NOT220708439K,Nan
NOT200706838K,Nan
NOT200707007K,Nan
NOT220708378K,Nan
NOT220708325K,Nan
NOT220708276K,Nan
NOT220708277K,Nan
NOT220708278K,Nan
NOT220708461K,Nan
NOT220708529K,Nan
NOT200706584K,Nan
NOT120705752K,Nan
NOT200707008K,Nan
NOT200707009K,Nan
NOT200707010K,Nan
NOT220708239K,Nan
NOT200706587K,Nan
NOT200706907K,Nan
NOT220708231K,Nan
NOT220708232K,Nan
NOT220708454K,Nan
NOT220708453K,Nan
NOT200706586K,Nan
NOT220708491K,Nan
NOT220708502K,Nan
NOT220708446K,Nan
NOT220708220K,Nan
NOT220708216K,Nan
NOT200707025K,Nan
NOT200707024K,Nan
NOT200707023K,Nan
NOT200707011K,Nan
NOT200706626K,Nan
NOT200706628K,Nan
